[16-02-2021 09:32:11] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:32:37] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:36:43] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:44:07] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:45:41] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:46:56] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:47:44] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:47:46] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:47:47] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:47:50] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 09:47:54] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 09:48:02] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:48:10] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:48:19] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:48:28] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:49:05] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:49:06] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:49:51] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999999 - MODELO:F273
[16-02-2021 09:58:27] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:00:48] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:01:30] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:01:44] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:01:49] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 10:01:53] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830005 - MODELO:F273
[16-02-2021 10:02:38] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:03:26] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:03:43] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:03:46] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830008 - MODELO:F273
[16-02-2021 10:04:22] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:04:25] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830099 - MODELO:F273
[16-02-2021 10:04:29] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 10:09:46] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:09:49] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830888 - MODELO:F273
[16-02-2021 10:10:06] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830088 - MODELO:F273
[16-02-2021 10:10:16] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 10:12:28] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 10:14:05] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 10:14:52] - INICIAL: XF273MAA10830009, FINAL: XF273MAA10830010 - MODELO:F273
[16-02-2021 10:16:11] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 10:20:32] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 10:20:52] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 10:20:57] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:21:00] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830088 - MODELO:F273
[16-02-2021 10:21:03] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 10:21:08] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830999 - MODELO:F273
[16-02-2021 10:28:06] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:32:16] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 10:32:46] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10831200 - MODELO:F273
[16-02-2021 10:32:55] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 10:33:21] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 10:33:25] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:33:31] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 10:34:23] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:34:56] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:34:57] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:34:59] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 10:35:18] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:35:21] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830008 - MODELO:F273
[16-02-2021 10:35:25] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830008 - MODELO:F273
[16-02-2021 10:35:27] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830008 - MODELO:F273
[16-02-2021 10:35:30] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830999 - MODELO:F273
[16-02-2021 10:36:17] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:36:21] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830099 - MODELO:F273
[16-02-2021 10:36:27] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 10:36:32] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830010 - MODELO:F273
[16-02-2021 10:36:56] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 10:49:33] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 10:51:48] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830006 - MODELO:F273
[16-02-2021 10:52:11] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:52:15] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830999 - MODELO:F273
[16-02-2021 10:52:48] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830999 - MODELO:F273
[16-02-2021 10:52:59] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 10:53:15] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:55:20] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:55:26] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830020 - MODELO:F273
[16-02-2021 10:55:31] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830200 - MODELO:F273
[16-02-2021 10:55:34] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10832000 - MODELO:F273
[16-02-2021 10:55:45] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108320000 - MODELO:F273
[16-02-2021 10:56:03] - INICIAL: XF273MAA10830050, FINAL: XF273MAA108320049 - MODELO:F273
[16-02-2021 10:56:39] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 10:56:51] - INICIAL: XF273MAA10830011, FINAL: XF273MAA108310009 - MODELO:F273
[16-02-2021 10:57:45] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10835000 - MODELO:F273
[16-02-2021 10:58:58] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10838985 - MODELO:F273
[16-02-2021 10:59:20] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 10:59:47] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 11:00:55] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10832222 - MODELO:F273
[16-02-2021 11:01:01] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10832222 - MODELO:F273
[16-02-2021 11:01:34] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10832222 - MODELO:F273
[16-02-2021 11:01:52] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 11:02:00] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10832222 - MODELO:F273
[16-02-2021 11:02:06] - INICIAL: XF273MAA10830022, FINAL: XF273MAA10832243 - MODELO:F273
[16-02-2021 11:02:21] - INICIAL: XF273MAA10830222, FINAL: XF273MAA10832443 - MODELO:F273
[16-02-2021 11:02:35] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10832222 - MODELO:F273
[16-02-2021 11:02:58] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 11:03:05] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 11:03:09] - INICIAL: XF273MAA10830009, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 11:03:14] - INICIAL: XF273MAA10830009, FINAL: XF273MAA10830028 - MODELO:F273
[16-02-2021 11:03:24] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830020 - MODELO:F273
[16-02-2021 11:03:26] - INICIAL: XF273MAA10830002, FINAL: XF273MAA10830021 - MODELO:F273
[16-02-2021 11:03:30] - INICIAL: XF273MAA10830010, FINAL: XF273MAA10830029 - MODELO:F273
[16-02-2021 11:03:45] - INICIAL: XF273MAA10831001, FINAL: XF273MAA10833000 - MODELO:F273
[16-02-2021 11:04:30] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 11:09:25] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 11:09:36] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 11:14:05] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 11:14:11] - INICIAL: XF273MAA10830010, FINAL: XF273MAA10830011 - MODELO:F273
[16-02-2021 13:10:49] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 13:10:56] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830999 - MODELO:F273
[16-02-2021 13:11:04] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 13:11:18] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830999 - MODELO:F273
[16-02-2021 13:11:21] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830099 - MODELO:F273
[16-02-2021 13:11:28] - INICIAL: XF273MAA10830099, FINAL: XF273MAA10830197 - MODELO:F273
[16-02-2021 15:06:36] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 15:06:49] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830008 - MODELO:F273
[16-02-2021 15:06:55] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830999 - MODELO:F273
[16-02-2021 15:07:02] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 15:07:10] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830010 - MODELO:F273
[16-02-2021 15:07:13] - INICIAL: XF273MAA10830002, FINAL: XF273MAA10830011 - MODELO:F273
[16-02-2021 15:07:37] - INICIAL: XF273MAA10830002, FINAL: XF273MAA10830011 - MODELO:F273
[16-02-2021 15:07:55] - INICIAL: XF273MAA10830002, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 15:08:02] - INICIAL: XF273MAA10830000, FINAL: XF273MAA10830000 - MODELO:F273
[16-02-2021 15:08:12] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 15:08:17] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 15:08:19] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 15:08:32] - INICIAL: XF273MAA10830555, FINAL: XF273MAA10830555 - MODELO:F273
[16-02-2021 15:08:39] - INICIAL: XF273MAA10830555, FINAL: XF273MAA10830564 - MODELO:F273
[16-02-2021 15:08:42] - INICIAL: XF273MAA10830555, FINAL: XF273MAA10830556 - MODELO:F273
